date,Power generation/renewable sources,Electrical transmission/ distribution,Rail transport,Water transport,"Energy generation and supply, combinations of activities",Road transport,Gas distribution,Water supply and sanitation - large systems,Fishery development,River development
2007-08-31,15479641,604859426,161756943,48783615,0,425882,736327,1258260936,3643504,173714
2007-09-30,15479641,604859426,161756943,48783615,0,425882,736327,1258260936,3643504,173714
2007-10-31,15479641,604859426,161756943,48783615,0,425882,736327,1258260936,3643504,173714
2007-11-30,15479641,604859426,161756943,48783615,0,425882,736327,1258260936,3643504,173714
2007-12-31,181083150,321561290,1945744781,60934,3578306,1002943970,1318,2929684,425059,187093
2008-01-31,181083150,321561290,1945744781,60934,3578306,1002943970,1318,2929684,425059,187093
2008-02-29,181083150,321561290,1945744781,60934,3578306,1002943970,1318,2929684,425059,187093
2008-03-31,181083150,321561290,1945744781,60934,3578306,1002943970,1318,2929684,425059,187093
2008-04-30,181083150,321561290,1945744781,60934,3578306,1002943970,1318,2929684,425059,187093
2008-05-31,181083150,321561290,1945744781,60934,3578306,1002943970,1318,2929684,425059,187093
2008-06-30,181083150,321561290,1945744781,60934,3578306,1002943970,1318,2929684,425059,187093
2008-07-31,181083150,321561290,1945744781,60934,3578306,1002943970,1318,2929684,425059,187093
2008-08-31,181083150,321561290,1945744781,60934,3578306,1002943970,1318,2929684,425059,187093
2008-09-30,181083150,321561290,1945744781,60934,3578306,1002943970,1318,2929684,425059,187093
2008-10-31,181083150,321561290,1945744781,60934,3578306,1002943970,1318,2929684,425059,187093
2008-11-30,181083150,321561290,1945744781,60934,3578306,1002943970,1318,2929684,425059,187093
2008-12-31,242645248,101455838,1726078347,25508636,0,1729209,0,19190650,554189,37960970
2009-01-31,242645248,101455838,1726078347,25508636,0,1729209,0,19190650,554189,37960970
2009-02-28,242645248,101455838,1726078347,25508636,0,1729209,0,19190650,554189,37960970
2009-03-31,242645248,101455838,1726078347,25508636,0,1729209,0,19190650,554189,37960970
2009-04-30,242645248,101455838,1726078347,25508636,0,1729209,0,19190650,554189,37960970
2009-05-31,242645248,101455838,1726078347,25508636,0,1729209,0,19190650,554189,37960970
2009-06-30,242645248,101455838,1726078347,25508636,0,1729209,0,19190650,554189,37960970
2009-07-31,242645248,101455838,1726078347,25508636,0,1729209,0,19190650,554189,37960970
2009-08-31,242645248,101455838,1726078347,25508636,0,1729209,0,19190650,554189,37960970
2009-09-30,242645248,101455838,1726078347,25508636,0,1729209,0,19190650,554189,37960970
2009-10-31,242645248,101455838,1726078347,25508636,0,1729209,0,19190650,554189,37960970
2009-11-30,242645248,101455838,1726078347,25508636,0,1729209,0,19190650,554189,37960970
2009-12-31,178425707,0,2769998813,947239,3008056,100504528,0,1379271,2199064,231955
2010-01-31,178425707,0,2769998813,947239,3008056,100504528,0,1379271,2199064,231955
2010-02-28,178425707,0,2769998813,947239,3008056,100504528,0,1379271,2199064,231955
2010-03-31,178425707,0,2769998813,947239,3008056,100504528,0,1379271,2199064,231955
2010-04-30,178425707,0,2769998813,947239,3008056,100504528,0,1379271,2199064,231955
2010-05-31,178425707,0,2769998813,947239,3008056,100504528,0,1379271,2199064,231955
2010-06-30,178425707,0,2769998813,947239,3008056,100504528,0,1379271,2199064,231955
2010-07-31,178425707,0,2769998813,947239,3008056,100504528,0,1379271,2199064,231955
2010-08-31,178425707,0,2769998813,947239,3008056,100504528,0,1379271,2199064,231955
2010-09-30,178425707,0,2769998813,947239,3008056,100504528,0,1379271,2199064,231955
2010-10-31,178425707,0,2769998813,947239,3008056,100504528,0,1379271,2199064,231955
2010-11-30,178425707,0,2769998813,947239,3008056,100504528,0,1379271,2199064,231955
2010-12-31,1036425472,474897025,436777967,956695,437146,3752113,0,148363024,953138,543836
2011-01-31,1036425472,474897025,436777967,956695,437146,3752113,0,148363024,953138,543836
2011-02-28,1036425472,474897025,436777967,956695,437146,3752113,0,148363024,953138,543836
2011-03-31,1036425472,474897025,436777967,956695,437146,3752113,0,148363024,953138,543836
2011-04-30,1036425472,474897025,436777967,956695,437146,3752113,0,148363024,953138,543836
2011-05-31,1036425472,474897025,436777967,956695,437146,3752113,0,148363024,953138,543836
2011-06-30,1036425472,474897025,436777967,956695,437146,3752113,0,148363024,953138,543836
2011-07-31,1036425472,474897025,436777967,956695,437146,3752113,0,148363024,953138,543836
2011-08-31,1036425472,474897025,436777967,956695,437146,3752113,0,148363024,953138,543836
2011-09-30,1036425472,474897025,436777967,956695,437146,3752113,0,148363024,953138,543836
2011-10-31,1036425472,474897025,436777967,956695,437146,3752113,0,148363024,953138,543836
2011-11-30,1036425472,474897025,436777967,956695,437146,3752113,0,148363024,953138,543836
2011-12-31,389711520,859477387,1619976788,222128,4674667,273422,0,756181890,301987,112586
2012-01-31,389711520,859477387,1619976788,222128,4674667,273422,0,756181890,301987,112586
2012-02-29,389711520,859477387,1619976788,222128,4674667,273422,0,756181890,301987,112586
2012-03-31,389711520,859477387,1619976788,222128,4674667,273422,0,756181890,301987,112586
2012-04-30,389711520,859477387,1619976788,222128,4674667,273422,0,756181890,301987,112586
2012-05-31,389711520,859477387,1619976788,222128,4674667,273422,0,756181890,301987,112586
2012-06-30,389711520,859477387,1619976788,222128,4674667,273422,0,756181890,301987,112586
2012-07-31,389711520,859477387,1619976788,222128,4674667,273422,0,756181890,301987,112586
2012-08-31,389711520,859477387,1619976788,222128,4674667,273422,0,756181890,301987,112586
2012-09-30,389711520,859477387,1619976788,222128,4674667,273422,0,756181890,301987,112586
2012-10-31,389711520,859477387,1619976788,222128,4674667,273422,0,756181890,301987,112586
2012-11-30,389711520,859477387,1619976788,222128,4674667,273422,0,756181890,301987,112586
2012-12-31,336238470,23400501,2251372351,131332,0,189110161,0,148222619,829070,657544
2013-01-31,336238470,23400501,2251372351,131332,0,189110161,0,148222619,829070,657544
2013-02-28,336238470,23400501,2251372351,131332,0,189110161,0,148222619,829070,657544
2013-03-31,336238470,23400501,2251372351,131332,0,189110161,0,148222619,829070,657544
2013-04-30,336238470,23400501,2251372351,131332,0,189110161,0,148222619,829070,657544
2013-05-31,336238470,23400501,2251372351,131332,0,189110161,0,148222619,829070,657544
2013-06-30,336238470,23400501,2251372351,131332,0,189110161,0,148222619,829070,657544
2013-07-31,336238470,23400501,2251372351,131332,0,189110161,0,148222619,829070,657544
2013-08-31,336238470,23400501,2251372351,131332,0,189110161,0,148222619,829070,657544
2013-09-30,336238470,23400501,2251372351,131332,0,189110161,0,148222619,829070,657544
2013-10-31,336238470,23400501,2251372351,131332,0,189110161,0,148222619,829070,657544
2013-11-30,336238470,23400501,2251372351,131332,0,189110161,0,148222619,829070,657544
